# action	name	note
keep	CeSetDatabaseInfoEx2	doc-derived (doc)
keep	CeSetPowerOnEvent	doc-derived (doc)
keep	CeSetProcessVersion	doc-derived (doc)
keep	CeSetReplChangeBitsEx	doc-derived (doc)
keep	CeSetReplChangeMask	doc-derived (doc)
keep	CeSetReplOtherBitsEx	doc-derived (doc)
keep	CeSetThreadQuantum	doc-derived (doc)
keep	CeSetUserNotification	doc-derived (doc)
keep	CeSetUserNotificationEx	doc-derived (doc)
keep	CeSvcAdd	doc-derived (doc)
keep	CeSvcQueryInfo	doc-derived (doc)
keep	CeSvcRemove	doc-derived (doc)
keep	CeUnmountDBVol	doc-derived (doc)
keep	CeVirtualSharedAlloc	doc-derived (doc)
keep	CeWriteRecordProps	doc-derived (doc)
keep	CeZeroPointer	doc-derived (doc)
keep	ChangeDisplaySettingsEx	doc-derived (doc)
keep	CharNextW	doc-derived (doc-generic)
keep	CheckDlgButton	doc-derived (doc)
keep	ClientToScreen	doc-derived (doc)
keep	CloseHandle	doc-derived (doc)
keep	CloseMsgQueue	doc-derived (doc)
keep	CombineRgn	doc-derived (doc)
keep	CompareFileTime	doc-derived (doc)
keep	ContinueDebugEvent	doc-derived (doc)
keep	ConvertThreadToFiber	doc-derived (doc)
keep	CopyFileExW	doc-derived (doc-generic)
keep	CopyFileW	doc-derived (doc-generic)
keep	CreateAPIHandle	doc-derived (doc)
keep	CreateAPISet	doc-derived (doc)
keep	CreateBitmap	doc-derived (doc)
keep	CreateCompatibleBitmap	doc-derived (doc)
keep	CreateCompatibleDC	doc-derived (doc)
keep	CreateDCW	doc-derived (doc-generic)
keep	CreateDIBPatternBrushPt	doc-derived (doc)
keep	CreateDIBSection	doc-derived (doc)
keep	CreateDirectoryW	doc-derived (doc-generic)
keep	CreateEnrollmentConfigDialog	doc-derived (doc)
keep	CreateEventW	doc-derived (doc-generic)
keep	CreateFiber	doc-derived (doc)
keep	CreateFileForMapping	doc-derived (doc)
keep	CreateFileForMappingW	doc-derived (doc-generic)
keep	CreateFileMappingW	doc-derived (doc-generic)
keep	CreateFileW	doc-derived (doc-generic)
keep	CreateFontIndirectW	doc-derived (doc-generic)
keep	CreateMsgQueue	doc-derived (doc)
keep	CreateMutexW	doc-derived (doc-generic)
keep	CreatePalette	doc-derived (doc)
keep	CreatePatternBrush	doc-derived (doc)
keep	CreatePen	doc-derived (doc)
keep	CreatePenIndirect	doc-derived (doc)
keep	CreateProcessW	doc-derived (doc-generic)
keep	CreateRectRgn	doc-derived (doc)
keep	CreateRectRgnIndirect	doc-derived (doc)
keep	CreateSolidBrush	doc-derived (doc)
keep	CreateStaticMapping	doc-derived (doc)
keep	CreateThread	doc-derived (doc)
keep	CreateWatchDogTimer	doc-derived (doc)
keep	CredDelete	doc-derived (doc)
keep	CredFree	doc-derived (doc)
keep	CredRead	doc-derived (doc)
keep	CredUpdate	doc-derived (doc)
keep	CredWrite	doc-derived (doc)
keep	CryptAcquireContextW	doc-derived (doc-generic)
keep	CryptContextAddRef	doc-derived (doc)
keep	CryptCreateHash	doc-derived (doc)
keep	CryptDecrypt	doc-derived (doc)
keep	CryptDeriveKey	doc-derived (doc)
keep	CryptDestroyHash	doc-derived (doc)
keep	CryptDestroyKey	doc-derived (doc)
keep	CryptDuplicateHash	doc-derived (doc)
keep	CryptDuplicateKey	doc-derived (doc)
keep	CryptEncrypt	doc-derived (doc)
keep	CryptEnumProviderTypesW	doc-derived (doc-generic)
keep	CryptEnumProvidersW	doc-derived (doc-generic)
keep	CryptExportKey	doc-derived (doc)
keep	CryptFindLocalizedName	doc-derived (doc)
keep	CryptGenKey	doc-derived (doc)
keep	CryptGenRandom	doc-derived (doc)
keep	CryptGetDefaultProviderW	doc-derived (doc-generic)
keep	CryptGetHashParam	doc-derived (doc)
keep	CryptGetKeyParam	doc-derived (doc)
keep	CryptGetProvParam	doc-derived (doc)
keep	CryptGetUserKey	doc-derived (doc)
keep	CryptHashData	doc-derived (doc)
keep	CryptHashSessionKey	doc-derived (doc)
keep	CryptImportKey	doc-derived (doc)
keep	CryptMsgCalculateEncodedLength	doc-derived (doc)
keep	CryptMsgClose	doc-derived (doc)
keep	CryptMsgControl	doc-derived (doc)
keep	CryptMsgDuplicate	doc-derived (doc)
keep	CryptMsgGetParam	doc-derived (doc)
keep	CryptMsgOpenToDecode	doc-derived (doc)
keep	CryptMsgOpenToEncode	doc-derived (doc)
keep	CryptMsgUpdate	doc-derived (doc)
keep	CryptProtectData	doc-derived (doc)
keep	CryptReleaseContext	doc-derived (doc)
keep	CryptSetHashParam	doc-derived (doc)
keep	CryptSetKeyParam	doc-derived (doc)
keep	CryptSetProvParam	doc-derived (doc)
keep	CryptSetProviderExW	doc-derived (doc-generic)
keep	CryptSetProviderW	doc-derived (doc-generic)
keep	CryptSignHashW	doc-derived (doc-generic)
keep	CryptUnprotectData	doc-derived (doc)
keep	CryptVerifySignatureW	doc-derived (doc-generic)
keep	DDKReg_GetIsrInfo	doc-derived (doc)
keep	DDKReg_GetPciInfo	doc-derived (doc)
keep	DDKReg_GetWindowInfo	doc-derived (doc)
keep	DeactivateDevice	doc-derived (doc)
keep	DebugActiveProcess	doc-derived (doc)
keep	DebugActiveProcessStop	doc-derived (doc)
keep	DebugBreak	doc-derived (doc)
keep	DeinitLAP	doc-derived (doc)
keep	DeleteAndRenameFile	doc-derived (doc)
keep	DeleteDC	doc-derived (doc)
keep	DeleteFiber	doc-derived (doc)
keep	DeleteFileW	doc-derived (doc-generic)
keep	DeleteObject	doc-derived (doc)
keep	DeregisterDevice	doc-derived (doc)
keep	DeregisterService	doc-derived (doc)
keep	DeviceIoControl	doc-derived (doc)
keep	DevicePowerNotify	doc-derived (doc)
keep	DisableThreadLibraryCalls	doc-derived (doc)
keep	DispatchMessageW	doc-derived (doc-generic)
keep	DrawEdge	doc-derived (doc)
keep	DrawFocusRect	doc-derived (doc)
keep	DrawTextW	doc-derived (doc-generic)
keep	DuplicateHandle	doc-derived (doc)
keep	Ellipse	doc-derived (doc)
keep	EnableEUDC	doc-derived (doc)
keep	EnumDevices	doc-derived (doc)
keep	EnumDisplayDevices	doc-derived (doc)
keep	EnumDisplayMonitors	doc-derived (doc)
keep	EnumDisplaySettings	doc-derived (doc)
keep	EnumFontFamiliesExW	doc-derived (doc-generic)
keep	EnumFontFamiliesW	doc-derived (doc-generic)
keep	EnumFontsW	doc-derived (doc-generic)
keep	EnumPnpIds	doc-derived (doc)
keep	EnumPropsEx	doc-derived (doc)
keep	EnumPropsExW	doc-derived (doc-generic)
keep	EnumServices	doc-derived (doc)
keep	EqualRgn	doc-derived (doc)
keep	ExcludeClipRect	doc-derived (doc)
keep	ExitProcess	doc-derived (doc)
keep	ExitThread	doc-derived (doc)
keep	ExtCreateRegion	doc-derived (doc)
keep	ExtEscape	doc-derived (doc)
keep	ExtTextOutW	doc-derived (doc-generic)
keep	FileSystemPowerFunction	doc-derived (doc)
keep	FileTimeToLocalFileTime	doc-derived (doc)
keep	FileTimeToSystemTime	doc-derived (doc)
keep	FillRect	doc-derived (doc)
keep	FillRgn	doc-derived (doc)
keep	FindClose	doc-derived (doc)
keep	FindCloseChangeNotification	doc-derived (doc)
keep	FindFirstChangeNotificationW	doc-derived (doc-generic)
keep	FindFirstFileExW	doc-derived (doc-generic)
keep	FindFirstFileW	doc-derived (doc-generic)
keep	FindNextChangeNotification	doc-derived (doc)
keep	FindNextFileW	doc-derived (doc-generic)
keep	FindResource	doc-derived (doc)
keep	FindResourceW	doc-derived (doc-generic)
keep	FlushFileBuffers	doc-derived (doc)
keep	FlushInstructionCache	doc-derived (doc)
keep	FlushViewOfFile	doc-derived (doc)
keep	ForcePageout	doc-derived (doc)
keep	ForwardDeviceIoControl	doc-derived (doc)
keep	FreeIntChainHandler	doc-derived (doc)
keep	FreeLibrary	doc-derived (doc)
keep	FreePhysMem	doc-derived (doc)
keep	GetBkColor	doc-derived (doc)
keep	GetBkMode	doc-derived (doc)
keep	GetCallerProcess	doc-derived (doc)
keep	GetCallerVMProcessId	doc-derived (doc)
keep	GetCapture	doc-derived (doc)
keep	GetCharABCWidths	doc-derived (doc)
keep	GetCharABCWidthsI	doc-derived (doc)
keep	GetCharABCWidthsW	doc-derived (doc-generic)
keep	GetCharWidth32	doc-derived (doc)
keep	GetCharWidth32W	doc-derived (doc-generic)
keep	GetClipBox	doc-derived (doc)
keep	GetClipRgn	doc-derived (doc)
keep	GetCommandLineW	doc-derived (doc-generic)
keep	GetCurrentFT	doc-derived (doc)
keep	GetCurrentFiber	doc-derived (doc)
keep	GetCurrentObject	doc-derived (doc)
keep	GetCurrentPermissions	doc-derived (doc)
keep	GetCurrentPositionEx	doc-derived (doc)
keep	GetCurrentProcess	doc-derived (doc)
keep	GetCurrentProcessId	doc-derived (doc)
keep	GetCurrentThread	doc-derived (doc)
keep	GetCurrentThreadId	doc-derived (doc)
keep	GetDC	doc-derived (doc)
keep	GetDCEx	doc-derived (doc)
keep	GetDIBColorTable	doc-derived (doc)
keep	GetDeviceCaps	doc-derived (doc)
keep	GetDevicePower	doc-derived (doc)
keep	GetDeviceUniqueID	doc-derived (doc)
keep	GetDirectCallerProcessId	doc-derived (doc)
keep	GetDiskFreeSpaceExW	doc-derived (doc-generic)
keep	GetDllVersion	doc-derived (doc)
keep	GetDoubleClickTime	doc-derived (doc)
keep	GetEventData	doc-derived (doc)
keep	GetExitCodeProcess	doc-derived (doc)
keep	GetExitCodeThread	doc-derived (doc)
keep	GetFiberData	doc-derived (doc)
keep	GetFileAttributesExW	doc-derived (doc-generic)
keep	GetFileAttributesW	doc-derived (doc-generic)
keep	GetFileInformationByHandle	doc-derived (doc)
keep	GetFileSize	doc-derived (doc)
keep	GetFileTime	doc-derived (doc)
keep	GetFileVersionInfoSizeW	doc-derived (doc-generic)
keep	GetFileVersionInfoW	doc-derived (doc-generic)
keep	GetFontData	doc-derived (doc)
keep	GetIdleTime	doc-derived (doc)
keep	GetKeyboardLayoutList	doc-derived (doc)
keep	GetKeyboardType	doc-derived (doc)
keep	GetLastError	doc-derived (doc)
keep	GetLayout	doc-derived (doc)
keep	GetLocalTime	doc-derived (doc)
keep	GetMessagePos	doc-derived (doc)
keep	GetMessageQueueReadyTimeStamp	doc-derived (doc)
keep	GetMessageSource	doc-derived (doc)
keep	GetMessageW	doc-derived (doc-generic)
keep	GetModuleFileNameW	doc-derived (doc-generic)
keep	GetModuleHandleW	doc-derived (doc-generic)
keep	GetModuleInformation	doc-derived (doc)
keep	GetMonitorInfo	doc-derived (doc)
keep	GetMouseMovePoints	doc-derived (doc)
keep	GetMsgQueueInfo	doc-derived (doc)
keep	GetNearestColor	doc-derived (doc)
keep	GetNearestPaletteIndex	doc-derived (doc)
keep	GetObjectType	doc-derived (doc)
keep	GetObjectW	doc-derived (doc-generic)
keep	GetOutlineTextMetricsW	doc-derived (doc-generic)
keep	GetOwnerProcess	doc-derived (doc)
keep	GetPaletteEntries	doc-derived (doc)
keep	GetPasswordStatus	doc-derived (doc)
keep	GetPixel	doc-derived (doc)
keep	GetProcAddressW	doc-derived (doc-generic)
keep	GetProcessVersion	doc-derived (doc)
keep	GetProp	doc-derived (doc)
keep	GetPropW	doc-derived (doc-generic)
keep	GetQueueStatus	doc-derived (doc)
keep	GetROP2	doc-derived (doc)
keep	GetRegionData	doc-derived (doc)
keep	GetRgnBox	doc-derived (doc)
keep	GetServiceHandle	doc-derived (doc)
keep	GetStdioPathW	doc-derived (doc)
keep	GetStockObject	doc-derived (doc)
keep	GetStoreInformation	doc-derived (doc)
keep	GetStretchBltMode	doc-derived (doc)
keep	GetStringTypeW	doc-derived (doc)
keep	GetSysColorBrush	doc-derived (doc)
keep	GetSystemInfo	doc-derived (doc)
keep	GetSystemMemoryDivision	doc-derived (doc)
keep	GetSystemPaletteEntries	doc-derived (doc)
keep	GetSystemPowerState	doc-derived (doc)
keep	GetSystemPowerStatusEx	doc-derived (doc)
keep	GetSystemPowerStatusEx2	doc-derived (doc)
keep	GetSystemTime	doc-derived (doc)
keep	GetSystemTimeAsFileTime	doc-derived (doc)
keep	GetTempFileNameW	doc-derived (doc-generic)
keep	GetTempPathW	doc-derived (doc-generic)
keep	GetTextAlign	doc-derived (doc)
keep	GetTextCharacterExtra	doc-derived (doc)
keep	GetTextColor	doc-derived (doc)
keep	GetTextExtentExPointW	doc-derived (doc-generic)
keep	GetTextExtentPoint32W	doc-derived (doc-generic)
keep	GetTextExtentPointW	doc-derived (doc-generic)
keep	GetTextFaceW	doc-derived (doc-generic)
keep	GetTextMetricsW	doc-derived (doc-generic)
keep	GetThreadCallStack	doc-derived (doc)
keep	GetThreadContext	doc-derived (doc)
keep	GetThreadPriority	doc-derived (doc)
keep	GetThreadTimes	doc-derived (doc)
keep	GetTickCount	doc-derived (doc)
keep	GetTimeZoneInformation	doc-derived (doc)
keep	GetUpdateRect	doc-derived (doc)
keep	GetUpdateRgn	doc-derived (doc)
keep	GetUserDirectory	doc-derived (doc)
keep	GetUserNameExW	doc-derived (doc-generic)
keep	GetVersionEx	doc-derived (doc)
keep	GetVersionExW	doc-derived (doc-generic)
keep	GetViewportExtEx	doc-derived (doc)
keep	GetViewportOrgEx	doc-derived (doc)
keep	GetWindowDC	doc-derived (doc)
keep	GetWindowExtEx	doc-derived (doc)
keep	GetWindowOrgEx	doc-derived (doc)
keep	GetWindowRgn	doc-derived (doc)
keep	GlobalAddAtomW	doc-derived (doc-generic)
keep	GlobalDeleteAtom	doc-derived (doc)
keep	GlobalFindAtomW	doc-derived (doc-generic)
keep	GlobalMemoryStatus	doc-derived (doc)
keep	GradientFill	doc-derived (doc)
keep	GwesPowerOffSystem	doc-derived (doc)
keep	HandleBlob	doc-derived (doc)
keep	HeapAlloc	doc-derived (doc)
keep	HeapCompact	doc-derived (doc)
keep	HeapCreate	doc-derived (doc)
keep	HeapDestroy	doc-derived (doc)
keep	HeapFree	doc-derived (doc)
keep	HeapReAlloc	doc-derived (doc)
keep	HeapSize	doc-derived (doc)
keep	HeapValidate	doc-derived (doc)
keep	InSendMessage	doc-derived (doc)
keep	InterlockedCompareExchange	doc-derived (doc)
keep	InterlockedCompareExchangePointer	doc-derived (doc)
keep	InterlockedDecrement	doc-derived (doc)
keep	InterlockedExchange	doc-derived (doc)
keep	InterlockedExchangeAdd	doc-derived (doc)
keep	InterlockedExchangePointer	doc-derived (doc)
keep	InterlockedIncrement	doc-derived (doc)
keep	InterlockedTestExchange	doc-derived (doc)
keep	InterruptDisable	doc-derived (doc)
keep	InterruptDone	doc-derived (doc)
keep	InterruptInitialize	doc-derived (doc)
keep	InterruptMask	doc-derived (doc)
keep	IntersectClipRect	doc-derived (doc)
keep	InvalidateRect	doc-derived (doc)
keep	InvalidateRgn	doc-derived (doc)
keep	InvertRect	doc-derived (doc)
keep	IsBadCodePtr	doc-derived (doc)
keep	IsBadReadPtr	doc-derived (doc)
keep	IsBadWritePtr	doc-derived (doc)
keep	IsDBCSLeadByte	doc-derived (doc)
keep	IsDBCSLeadByteEx	doc-derived (doc)
keep	IsDlgButtonChecked	doc-derived (doc)
keep	IsNamedEventSignaled	doc-derived (doc)
keep	KernelIoControl	doc-derived (doc)
keep	KernelLibIoControl	doc-derived (doc)
keep	KeybdGetDeviceInfo	doc-derived (doc)
keep	LAPCreateEnrollmentConfigDialog	doc-derived (doc)
keep	LASSReloadConfig	doc-derived (doc)
keep	LineTo	doc-derived (doc)
keep	LoadDriver	doc-derived (doc)
keep	LoadFSD	doc-derived (doc)
keep	LoadIntChainHandler	doc-derived (doc)
keep	LoadKernelLibrary	doc-derived (doc)
keep	LoadKeyboardLayoutW	doc-derived (doc-generic)
keep	LoadLibraryExW	doc-derived (doc-generic)
keep	LoadLibraryW	doc-derived (doc-generic)
keep	LoadResource	doc-derived (doc)
keep	LocalAlloc	doc-derived (doc)
keep	LocalFileTimeToFileTime	doc-derived (doc)
keep	LocalFree	doc-derived (doc)
keep	LocalReAlloc	doc-derived (doc)
keep	LocalSize	doc-derived (doc)
keep	LockFileEx	doc-derived (doc)
keep	LockPages	doc-derived (doc)
keep	LockResource	doc-derived (doc)
keep	MapCallerPtr	doc-derived (doc)
keep	MapPtrToProcess	doc-derived (doc)
keep	MapViewOfFile	doc-derived (doc)
keep	MapWindowPoints	doc-derived (doc)
keep	MaskBlt	doc-derived (doc)
keep	MatchTarget	doc-derived (doc)
keep	MatchUser	doc-derived (doc)
keep	MonitorFromPoint	doc-derived (doc)
keep	MonitorFromRect	doc-derived (doc)
keep	MonitorFromWindow	doc-derived (doc)
keep	MoveFileW	doc-derived (doc-generic)
keep	MoveToEx	doc-derived (doc)
keep	MultiByteToWideChar	doc-derived (doc)
keep	NKCreateStaticMapping	doc-derived (doc)
keep	NKForceCleanBoot	doc-derived (doc)
keep	NotifyWinUserSystem	doc-derived (doc)
keep	OffsetRgn	doc-derived (doc)
keep	OffsetViewportOrgEx	doc-derived (doc)
keep	OpenDeviceKey	doc-derived (doc)
keep	OpenEventW	doc-derived (doc-generic)
keep	OpenMsgQueue	doc-derived (doc)
keep	OpenProcess	doc-derived (doc)
keep	OpenThread	doc-derived (doc)
keep	OpenWatchDogTimer	doc-derived (doc)
keep	PageOutModule	doc-derived (doc)
keep	PatBlt	doc-derived (doc)
keep	PeekMessageW	doc-derived (doc-generic)
keep	PlatformManageSystemPower	doc-derived (doc)
keep	PlatformMapPowerStateHint	doc-derived (doc)
keep	PlatformResumeSystem	doc-derived (doc)
keep	PlatformValidatePMRegistry	doc-derived (doc)
keep	PlaySoundW	doc-derived (doc-generic)
keep	Polygon	doc-derived (doc)
keep	Polyline	doc-derived (doc)
keep	PostMessageW	doc-derived (doc-generic)
keep	PostQuitMessage	doc-derived (doc)
keep	PostThreadMessageW	doc-derived (doc-generic)
keep	PowerOffSystem	doc-derived (doc)
keep	PowerPolicyNotify	doc-derived (doc)
keep	ProfileCaptureStatus	doc-derived (doc)
keep	ProfileStart	doc-derived (doc)
keep	ProfileStartEx	doc-derived (doc)
keep	ProfileStop	doc-derived (doc)
keep	PtInRegion	doc-derived (doc)
keep	PulseEvent	doc-derived (doc)
keep	QueryInstructionSet	doc-derived (doc)
keep	QueryPerformanceCounter	doc-derived (doc)
keep	QueryPerformanceFrequency	doc-derived (doc)
keep	RaiseException	doc-derived (doc)
keep	Random	doc-derived (doc)
keep	RasDeleteEntry	doc-derived (doc)
keep	RasDevConfigDialogEditW	doc-derived (doc-generic)
keep	RasDial	doc-derived (doc)
keep	RasEnumConnections	doc-derived (doc)
keep	RasEnumDevicesW	doc-derived (doc-generic)
keep	RasEnumEntries	doc-derived (doc)
keep	RasGetConnectStatus	doc-derived (doc)
keep	RasGetDispPhoneNumW	doc-derived (doc-generic)
keep	RasGetEapConnectionData	doc-derived (doc)
keep	RasGetEapUserData	doc-derived (doc)
keep	RasGetEntryDialParams	doc-derived (doc)
keep	RasGetEntryProperties	doc-derived (doc)
keep	RasGetLinkStatistics	doc-derived (doc)
keep	RasGetProjectionInfoW	doc-derived (doc-generic)
keep	RasHangUp	doc-derived (doc)
keep	RasIOControl	doc-derived (doc)
keep	RasRenameEntry	doc-derived (doc)
keep	RasSetEapConnectionData	doc-derived (doc)
keep	RasSetEapUserData	doc-derived (doc)
keep	RasSetEntryDialParams	doc-derived (doc)
keep	RasSetEntryProperties	doc-derived (doc)
keep	RasValidateEntryName	doc-derived (doc)
keep	ReadFile	doc-derived (doc)
keep	ReadMsgQueue	doc-derived (doc)
keep	ReadMsgQueueEx	doc-derived (doc)
keep	ReadProcessMemory	doc-derived (doc)
keep	RealizePalette	doc-derived (doc)
keep	RectInRegion	doc-derived (doc)
keep	RectVisible	doc-derived (doc)
keep	Rectangle	doc-derived (doc)
keep	RedrawWindow	doc-derived (doc)
keep	RefreshWatchDogTimer	doc-derived (doc)
keep	RegCloseKey	doc-derived (doc)
keep	RegCloseKeyW	doc-derived (doc-generic)
keep	RegCopyFile	doc-derived (doc)
keep	RegCreateKeyExW	doc-derived (doc-generic)
keep	RegDeleteKeyW	doc-derived (doc-generic)
keep	RegDeleteValueW	doc-derived (doc-generic)
keep	RegEnumKeyExW	doc-derived (doc-generic)
keep	RegEnumValueW	doc-derived (doc-generic)
keep	RegFlushKey	doc-derived (doc)
keep	RegFlushKeyW	doc-derived (doc-generic)
keep	RegOpenKeyExW	doc-derived (doc-generic)
keep	RegQueryInfoKeyW	doc-derived (doc-generic)
keep	RegQueryValueExW	doc-derived (doc-generic)
keep	RegReplaceKey	doc-derived (doc)
keep	RegRestoreFile	doc-derived (doc)
keep	RegSaveKey	doc-derived (doc)
keep	RegSetValueExW	doc-derived (doc-generic)
keep	RegisterAPISet	doc-derived (doc)
keep	RegisterDevice	doc-derived (doc)
keep	RegisterPowerRelationship	doc-derived (doc)
keep	RegisterService	doc-derived (doc)
keep	RegisterWindowMessageW	doc-derived (doc-generic)
keep	ReleaseCapture	doc-derived (doc)
keep	ReleaseDC	doc-derived (doc)
keep	ReleasePowerRelationship	doc-derived (doc)
keep	ReleasePowerRequirement	doc-derived (doc)
keep	ReleaseSemaphore	doc-derived (doc)
keep	RemoveDirectoryW	doc-derived (doc-generic)
keep	RemoveFontResourceW	doc-derived (doc-generic)
keep	RemoveProp	doc-derived (doc)
keep	RemovePropW	doc-derived (doc-generic)
keep	RemoveVectoredExceptionHandler	doc-derived (doc)
keep	ReplChangeSyncSettings	doc-derived (doc)
keep	ReplCheckpoint	doc-derived (doc)
keep	ReplCloseSync	doc-derived (doc)
keep	ReplFindNextChange	doc-derived (doc)
keep	ReplGetOidStatus	doc-derived (doc)
keep	ReplGetSyncState	doc-derived (doc)
keep	ReplOpenSync	doc-derived (doc)
keep	ReportFault	doc-derived (doc)
keep	RequestBluetoothNotifications	doc-derived (doc)
keep	RequestDeviceNotifications	doc-derived (doc)
keep	RequestPowerNotifications	doc-derived (doc)
keep	ResetEvent	doc-derived (doc)
keep	ResourceCreateList	doc-derived (doc)
keep	ResourceRelease	doc-derived (doc)
keep	ResourceRequest	doc-derived (doc)
keep	RestoreDC	doc-derived (doc)
keep	ResumeThread	doc-derived (doc)
keep	RoundRect	doc-derived (doc)
keep	SHAddToRecentDocs	doc-derived (doc)
keep	SHCreateShortcut	doc-derived (doc)
keep	SHCreateShortcutEx	doc-derived (doc)
keep	SHGetShortcutTarget	doc-derived (doc)
keep	SHGetSpecialFolderPath	doc-derived (doc)
keep	SHLoadDIBitmap	doc-derived (doc)
keep	SaveDC	doc-derived (doc)
keep	ScreenToClient	doc-derived (doc)
keep	ScrollDC	doc-derived (doc)
keep	ScrollWindowEx	doc-derived (doc)
keep	SelectClipRgn	doc-derived (doc)
keep	SelectObject	doc-derived (doc)
keep	SelectPalette	doc-derived (doc)
keep	SendMessageTimeout	doc-derived (doc)
keep	SendMessageW	doc-derived (doc-generic)
keep	SendNotifyMessageW	doc-derived (doc-generic)
keep	ServiceAddPort	doc-derived (doc)
keep	ServiceClosePort	doc-derived (doc)
keep	ServiceIoControl	doc-derived (doc)
keep	ServiceUnbindPorts	doc-derived (doc)
